event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_cov95,rate_width90,rate_width95,spearman,mae_lap,lap_cov90
hungary-2026,sealed_driver,43,0.04860135741176645,0.01452534415783461,0.813953488372093,0.8372093023255814,0.16301216159318033,0.19474835942486124,-0.3051884377100941,0.411034397190919,0.9212121212121213
hungary-2026,sealed_driver_hist,43,0.04860135741176645,0.01452534415783461,0.813953488372093,0.8372093023255814,0.16301216159318033,0.19474835942486124,-0.3051884377100941,0.411034397190919,0.9212121212121213
hungary-2026,sealed_driver_practice_dev,43,0.04575826101803357,0.018248077955620244,0.813953488372093,0.8604651162790697,0.15970808432420944,0.19079924854789795,-0.19832339456241205,0.411034397190919,0.9212121212121213
hungary-2026,sealed_driver_team_pooled,43,0.0457179930294127,0.01830845134738047,0.813953488372093,0.8604651162790697,0.15966091474555763,0.1907444458482919,-0.18941168071688097,0.411034397190919,0.9212121212121213
hungary-2026,history_only,43,0.04533142208258394,0.0010127956696917592,0.6976744186046512,0.7441860465116279,0.10404141261615917,0.12396423630861517,-0.14832871294600813,0.4339340944281172,0.8606060606060606
hungary-2026,mixedlm_x_regime,43,0.047874076455797464,0.019043829901170893,0.6976744186046512,0.7674418604651163,0.10404141261615914,0.12396423630861517,0.01242385742694677,0.40794113902572365,0.8893939393939394
hungary-2026,season_loo,43,0.05250034405723487,0.03486824049657207,0.5581395348837209,0.6511627906976745,0.10404141261615917,0.12396423630861517,-0.08918188155890537,0.4310640740220951,0.8818181818181818
hungary-2026,zero,43,0.0827341309614186,0.07951409790608775,0.23255813953488372,0.27906976744186046,0.10404141261615917,0.12396423630861517,,0.5156494742712049,0.8151515151515152
hungary-2026,oracle_race,43,0.04185511734201001,0.009692308812977063,0.627906976744186,0.6744186046511628,0.10404141261615917,0.12396423630861517,0.03241737690337784,0.4130193299104001,0.8787878787878788
italy-2026,sealed,21,0.03168744408023053,-0.015804255421137975,0.9047619047619048,1.0,0.1400665384395831,0.1703886687848065,-0.04796656089772118,0.3179974271196607,0.9701149425287356
italy-2026,sealed_v3,21,0.03168744408023053,-0.015804255421137975,0.9047619047619048,1.0,0.1400665384395831,0.1703886687848065,-0.04796656089772118,0.3179974271196607,0.9701149425287356
italy-2026,practice_only,21,0.030399661499425884,0.01431713259282911,0.8095238095238095,0.9523809523809523,0.0984574292411048,0.11762574925385007,-0.05784193611243043,0.2885873281060986,0.9586206896551724
italy-2026,practice_no_regime,21,0.029076456252759203,0.008123983731049292,0.9523809523809523,1.0,0.11000750391768317,0.13104387890397368,-0.05784193611243043,0.27951274347194094,0.9655172413793104
italy-2026,sealed_geomean,21,0.03078497002652411,-0.012151062563758868,0.9523809523809523,1.0,0.13401849817350048,0.16288534947170002,-0.0634209125806391,0.3055568155908819,0.9701149425287356
italy-2026,regime_v2_temperature,21,0.03049424601428895,-0.008557550686800933,0.9523809523809523,1.0,0.12137220788979682,0.14861662400226325,-0.0481772466950425,0.29640712277395737,0.9701149425287356
italy-2026,regime_v3_pooled,21,0.03179719438160786,-0.016383596592758627,0.9047619047619048,1.0,0.14147018945813822,0.17192789821367938,-0.01628141150044641,0.31999277805938103,0.967816091954023
italy-2026,regime_v3_circuit,21,0.03168744408023056,-0.015804255421138114,0.9047619047619048,1.0,0.14006653843958333,0.17038866878480677,-0.04203890193112712,0.3179974271196607,0.9701149425287356
italy-2026,regime_oracle_temperature,21,0.031416795961394815,-0.014335293110924881,0.9047619047619048,1.0,0.1366089230910102,0.1661382487818258,-0.06505054149143008,0.31324512093328716,0.9701149425287356
italy-2026,sealed_perfect_t,21,0.031416795961394815,-0.014335293110924881,0.9047619047619048,1.0,0.1366089230910102,0.1661382487818258,-0.06505054149143008,0.31324512093328716,0.9701149425287356
italy-2026,sealed_driver,21,0.035652316074440325,-0.022582162277993544,0.8571428571428571,1.0,0.15201080995949465,0.18487526914978822,-0.03506493506493507,0.3179974271196607,0.9701149425287356
italy-2026,sealed_driver_hist,21,0.035652316074440325,-0.022582162277993544,0.8571428571428571,1.0,0.15201080995949465,0.18487526914978822,-0.03506493506493507,0.3179974271196607,0.9701149425287356
italy-2026,sealed_driver_practice_dev,21,0.031781294935005484,-0.015599648315375567,0.9523809523809523,1.0,0.13967709817522359,0.16991200202618129,-0.06493506493506493,0.3179974271196607,0.9701149425287356
italy-2026,sealed_driver_team_pooled,21,0.03173266646529184,-0.015592188248862725,0.9523809523809523,1.0,0.13967199017600015,0.16990825927312717,-0.059740259740259746,0.3179974271196607,0.9701149425287356
italy-2026,history_only,19,0.041084521170911346,-0.03686049932624409,0.3684210526315789,0.47368421052631576,0.06412011948506569,0.07639844023752507,-0.0690292517269669,0.4358468130681032,0.8816425120772947
italy-2026,mixedlm_x_regime,21,0.029422188137809016,0.010219102861347413,0.5714285714285714,0.7142857142857143,0.0688099222258513,0.08198629031165262,0.21449473958101686,0.28724041905080006,0.9425287356321839
italy-2026,season_loo,21,0.03784289262687314,-0.027768685961601255,0.5238095238095238,0.5714285714285714,0.06880992222585129,0.08198629031165262,-0.14056757833220632,0.39158028135536943,0.9057471264367816
italy-2026,zero,21,0.03464809603818807,0.027236820686250156,0.5714285714285714,0.5714285714285714,0.0688099222258513,0.08198629031165262,,0.33002249473296597,0.9172413793103448
italy-2026,oracle_race,21,0.032376872885759175,0.013348213193697677,0.5714285714285714,0.5714285714285714,0.0688099222258513,0.08198629031165262,-0.08013665680621108,0.3093399196362065,0.9356321839080459
